Tool Name,Researcher,Deep Dive,Category,Language,Website,OS License,Version Control,Maintaner(s),Initial Release,Last Active Date,Alternate Tools,Notes,Source,,,,,,,,,,,
memdump,bc,,Forensics,IBM,,,,,,,,,Kali repos,"! old school unix tool. Ain't broke, don't need fixin.",,,,,,,,,,
metagoofil,bc,,Information Gathering,Python,http://www.edge-security.com/metagoofil.php,GPLv3,cvs,laramies@gmail.com,2011,2/10/2013,,"Metagoofil is an information gathering tool designed for extracting metadata of public documents (pdf,doc,xls,ppt,docx,pptx,xlsx) belonging to a target company.

",Kali repos,,,,,,,,,,,
metasploit-framework,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
mfcuk,bc,,Wireless Attacks,C,https://code.google.com/p/mfcuk/,GPLv2,svn,,2009,1/9/2014,,"Toolkit containing samples and various tools based on and around libnfc and crapto1, with emphasis on Mifare Classic NXP/Philips RFID cards.",Kali repos,"! IMPORTANT: Due to constant lack of time, I (Andrei Costin) cannot support/maintain this project. If there is any volunteer to maintain/develop, please contact me or leave a message on libnfc's forum.",,,,,,,,,,
mfoc,bc,,Password Attacks,C,https://code.google.com/p/mfoc/,GPLv2,svn,,2010,12/6/2013,,This program allow to recover authentication keys from MIFARE Classic card.,Kali repos,,,,,,,,,,,
mfterm,bc,,System Services,C,https://github.com/4ZM/mfterm,GPLv3,git,anders@4zm.org,2012,4/22/2013,,mfterm is a terminal interface for working with Mifare Classic tags.,Kali repos,,,,,,,,,,,
mimikatz,bc,,Password Attacks,C,http://blog.gentilkiwi.com/mimikatz,CC3.0BY,svn,gentilkiwi@gmail.com,2012,1/25/2014,,Un petit utilitaire pour jouer avec Windows,Kali repos,,,,,,,,,,,
miranda,bc,,Vulnerability Analysis,Python,https://code.google.com/p/mirandaupnptool/,MIT,svn,heffnerc...@gtempaccount.com,2009,3/3/2009,,"a Python-based Universal Plug-N-Play client application designed to discover, query and interact with UPNP devices",Kali repos,,,,,,,,,,,
missidentify,bc,,Information Gathering,C,http://missidentify.sourceforge.net/,GPLv2,cvs,Jesse Kornblum,2008,10/11/2012,,"Searches for Win32 executables that do not have an executable extension (e.g. exe, com, dll). Can also optionally display all Win32 executables encountered.",Kali repos,,,,,,,,,,,
mitmproxy,bc,,Sniffing/Spoofing,Python,http://mitmproxy.org/,MIT,git, Aldo Cortesi,,2/7/2014,,"mitmproxy is an interactive, SSL-capable man-in-the-middle proxy for HTTP with a console interface.",Kali repos,"! larger project, well maintained, frequent commits!",,,,,,,,,,
mtools,bc,,System Services,C,http://www.gnu.org/software/mtools/,GPL,,,,1/9/2013,,Mtools is a collection of utilities to access MS-DOS disks from GNU and Unix without mounting them.,Kali repos,,,,,,,,,,,
multiforcer,bc,,Password Attacks,C++,http://www.cryptohaze.com/multiforcer.php,GPLv2,cvs,http://www.cryptohaze.com/,,4/25/2012,cryptohaze,,Kali repos,,,,,,,,,,,
multimac,bc,,System Services,C,http://sourceforge.net/projects/multimac/,GPLv2,cvs,,,4/11/2013,,Multiple MACs on an adapter,Kali repos,,,,,,,,,,,
nbtscan,bc,,Information Gathering,C,http://www.unixwiz.net/tools/nbtscan.html,None,,,2000,4/8/2008,,a command-line tool that scans for open NETBIOS nameservers on a local or remote TCP/IP network,Kali repos,,,,,,,,,,,
ncat-w32,bc,,,,,,,,,,,,Kali repos,,,,,,,,,,,
ncrack,bc,,Password Attacks,C++,http://nmap.org/ncrack/,GPLv2 (Modified),svn,Nmap.org,2009,1/23/2013,,a high-speed network authentication cracking tool,Kali repos,! Summer of code project associated with nmap.org,,,,,,,,,,
netbase,bc,,System Services,,,,,,,,,,Kali repos,"! Just portlists, likely package dependency",,,,,,,,,,
netcat,bc,,,,,,,,,,netcat-traditional,major project,Kali repos,,,,,,,,,,,
netdiscover,bc,,Information Gathering,C,http://nixgeneration.com/~jaime/netdiscover/,GPLv3,svn,,2005,7/1/2013,,an active/passive address reconnaissance tool,Kali repos,,,,,,,,,,,
netmask,bc,,,,,,,,,,,,Kali repos,,,,,,,,,,,
netsed,bc,,Sniffing/Spoofing,C,http://silicone.homelinux.org/projects/netsed/,GPL,git,Michal Zalewski,2011,10/13/2013,, network packet stream editor,Kali repos,,,,,,,,,,,
netsniff-ng,bc,,Sniffing/Spoofing,C,http://netsniff-ng.org/,GPLv2,git,Daniel Borkmann,,2/1/2014,,A Swiss army knife for your daily Linux network plumbing.,Kali repos,,,,,,,,,,,
netwag,bc,,,,http://ntwag.sourceforge.net/,,,,,1/1/2007,netwox,,Kali repos,This project reached its End Of Maintenance in 2007,,,,,,,,,,
netwox,bc,,Information Gathering,,http://sourceforge.net/projects/ntwox/?source=navbar,GPLv3,,,,7/8/2012,,,Kali repos,This project reached its End Of Maintenance in 2007,,,,,,,,,,
nfspy,bc,,Exploitation Tools,Python,https://github.com/bonsaiviking/NfSpy,MIT,git,Daniel Miller,2010,5/7/2013,,ID-spoofing NFS client,Kali repos,,,,,,,,,,,
ngrep,bc,,Sniffing/Spoofing,C/Perl,http://ngrep.sourceforge.net/,,,Jordan Ritter <jpr5@darkridge.com>,2000,2/15/2007,,network grep,Kali repos,,,,,,,,,,,
nikto,bc,,Vulnerability Analysis,Perl,http://cirt.net/Nikto2,GPL,,"Chris Sullo
David Lodge",2001,9/16/2012,," an Open Source (GPL) web server scanner which performs comprehensive tests against web servers for multiple items,",Kali repos,! actively maintained,,,,,,,,,,
nipper-ng,bc,,Vulnerability Analysis,C,https://code.google.com/p/nipper-ng/,GPLv3,,,2009,11/30/2009,,An opensource device security configuration review tool.,Kali repos,! stalled out pretty fast,,,,,,,,,,
nmap,bc,,,,,,,,,,zenmap,major project,,,,,,,,,,,major project,Kali repos
ohrwurm,bc,,Exploitation Tools,C,,GPLv2,,,2006,8/10/2006,,RTP fuzzer,Kali repos,"! Single C file + makefile, no history",,,,,,,,,,
ollydbg,bc,,Reverse Engineering,C,http://www.ollydbg.de/,GPLv2,,Ollydbg@t-online.de,,3/5/2002,,a 32-bit assembler level analysing debugger for Microsoft® Windows®,Kali repos, I have used Borland C and do not guarantee that it will work with any other compiler. Please set the default character type to unsigned! ----- Appears to be active development on 64 bit version as of 02-01-2014,,,,,,,,,,
onesixtyone,bc,,Password Attacks,C,http://labs.portcullis.co.uk/tools/onesixtyone/,GPLv2,,<solareclipse@phreedom.org>,,3/31/2008,, an SNMP scanner that sends multiple SNMP requests to multiple IP addresses,Kali repos,,,,,,,,,,,
openchangeclient,bc,,System Services,C,http://www.openchange.org,GPLv3,git,openchange.org,,11/27/2013,,a portable Open Source implementation of Microsoft Exchange server and Exchange protocols,Kali repos,,,,,,,,,,,
openvas,,,,,,,,,,,"openvas-administrator, greenbone-security-assistant, openvas-cli, openvas-manager, openvas-scanner",major project,Kali repos,,,,,,,,,,,
ophcrack,,,,,,,,,,,"ophcrack-cli, bkhive, samdump2",major project,Kali repos,,,,,,,,,,,
oscanner,bc,,Vulnerability Analysis,Java,http://www.cqure.net/wp/tools/database/oscanner/,GPLv2,,Patrik Karlsson,,12/18/2004,,an Oracle assessment framework developed in Java.,Kali repos,,,,,,,,,,,
os-prober,bc,,Information Gathering,C,https://joeyh.name/code/os-prober/,GPLv2,,Debian Install System Team,,7/23/2013,,a spinoff of debian-installer,Kali repos,"Questions or bug reports should be directed to the debian-installer team, not me personally.",,,,,,,,,,
p0f,bc,bc,Sniffing/Spoofing,C,http://lcamtuf.coredump.cx/p0f3/,GPLv2,,Michal Zalewski <lcamtuf@coredump.cx>,,9/30/2012,,"a tool that utilizes an array of sophisticated, purely passive traffic fingerprinting mechanisms ",Kali repos,! v3 is a complete rewrite and not backwards compatible with v2 flags. Kali package changed but kept the same name!!! DONT DO THIS,,,,,,,,,,
pack,bc,,Password Attacks,Python,https://github.com/iphelix/pack,MIT,git,Peter Kacherginsky (iphelix),2013,8/9/2013,,"utilities developed to aid in analysis of password lists in order to enhance password cracking through pattern detection of masks, rules, character-sets and other password characteristics",Kali repos,! Mad difficult to google for!!!!,,,,,,,,,,
padbuster,bc,,Web Applications,Perl,http://blog.gdssecurity.com/labs/2010/9/14/automated-padding-oracle-attacks-with-padbuster.html,RPL1.5,git,Brian Holyfield - Gotham Digital Science (labs@gdssecurity.com),2011,8/23/2011,,Automated script for performing Padding Oracle attacks,Kali repos,,,,,,,,,,,
paros,bc,,Vulnerability Analysis,Java,http://sourceforge.net/projects/paros/,Artistic,cvs,,2004,6/1/2007,,A Java based HTTP/HTTPS proxy for assessing web application vulnerability,Kali repos,,,,,,,,,,,
pasco,bc,,Forensics,C,http://www.mcafee.com/us/downloads/free-tools/pasco.aspx,Proprietary,none,keith.jones@foundstone.com,,4/7/2013,,An Internet Explorer activity forensic analysis tool.,Kali repos,,,,,,,,,,,
passing-the-hash,ow,,Password Attacks,Multiple,http://code.google.com/p/passing-the-hash/,GPLv3,svn,"exorcyst@gmail.com, Christopher.James.Campbell@gmail.com",7/1/2012,4/1/2013,,Collection of tools to make passing the hash (windows password attack using hash instead of password) much easier to do and more automated.  Collection is bundled in the package but binaries run with a pth- prefix,Kali repos,,,,,,,,,,,
patator,ow,,Password Attacks,Python,https://code.google.com/p/patator/,GPLv2,git,"Sebastien Macke (patator@hsc.fr), lanjelot@gmail.com",12/1/2011,7/1/2013,," Patator is a multi-purpose brute-forcer, with a modular design and a flexible usage.",,,,,,,,,,,,
pdfid,ow,,Vulnerability Analysis,Python,http://blog.didierstevens.com/2009/03/31/pdfid/                                             http://didierstevenslabs.com/products.html,Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported License???,none,Didier Stevens  didier.stevens@gmail.com,3/31/2009,3/21/2013,,Tool to differentiate between PDF documents that could be malicious and those that aren't,,,,,,,,,,,,
pdf-parser,ow,,Forensics,PHP,https://github.com/smalot/pdfparser,GPLv3,git, Sebastien MALOT smalot ,8/30/2013,1/29/2014,,"PdfParser, a standalone PHP library, provides various tools to extract data from a PDF file.",Kali repos,,,,,,,,,,,
pdgmail,ow,,Forensics,Python,http://www.jeffbryner.com/code/pdgmail,GPLv2,none,Jeff Bryner,2008,2008,,python script to gather gmail artifacts from a pd process memory dump,Kali repos,,,,,,,,,,,
peepdf,ow,,Forensics,Python,http://code.google.com/p/peepdf/,GPLv3,svn," josemiguel.esparza@gmail.com, Brandon.S.Dixon@gmail.com, binjo.cn@gmail.com
",5/1/2011,2/8/2013,,peepdf is a Python tool to explore PDF files in order to find out if the file can be harmful or not,Kali repos,,,,,,,,,,,
pev,ow,,Forensics,C,http://pev.sourceforge.net/,GPLv3,git,Fernando Mercês,,,,multiplatform toolkit to work with PE (Portable Executable) binaries.,Kali repos,,,,,,,,,,,
phrasendrescher,ow,,Password Attacks,C,http://www.leidecker.info/projects/phrasendrescher/, 3-clause BSD license,none,Nico Leidecker <nico@leidecker.info>,7/19/2007,3/30/2009,,phrasen|drescher (p|d) is a modular and multi processing pass phrase cracking tool. It comes with a number of plugins but a simple plugin API allows an easy development of new plugins.,Kali repos,,,,,,,,,,,
pjproject,ow,,System Services,C,http://www.pjsip.org/,GPLv2,git," Benny Prijono <benny@prijono.org>, and others",2005,3/8/2014,,"PJSIP is a free and open source multimedia communication library written in C language implementing standard based protocols such as SIP, SDP, RTP, STUN, TURN, and ICE. It combines signaling protocol (SIP) with rich multimedia framework and NAT traversal functionality into high level API that is portable and suitable for almost any type of systems ranging from desktops, embedded systems, to mobile handsets.",Kali repos,,,,,,,,,,,
plecost,ow,,Information Gathering,Python,http://code.google.com/p/plecost/        http://www.iniqua.com/labs/,GPLv3,git," fran.net@gmail.com, 
 garcia.garcia.daniel@gmail.com, iniqua.team@gmail.com",4/3/2012,8/29/2012,,Wordpress finger printer tool,Kali repos,,,,,,,,,,,
polenum,ow,,Password Attacks,Python,http://labs.portcullis.co.uk/tools/polenum/,"Mod of The Apache Software License, Version 1.1",none,deanx - RID@portcullis-secuirty.com,8/20/2008,4/26/2013,,polenum is a python script which can be used to get the password policy from a Windows machine.,Kali repos,,,,,,,,,,,
powerfuzzer,ow,,Web Applications,Python,http://www.powerfuzzer.com/,GPLv3,none,Marcin Kozlowski,2/22/2008,10/4/2013,,"Powerfuzzer is a highly automated and fully customizable web fuzzer (HTTP protocol based application fuzzer) based on many other Open Source fuzzers available and information gathered from numerous security resources and websites. It was designed to be user friendly, modern, effective and working.",Kali repos,,,,,,,,,,,
powersploit,gk,,Exploitation Tools,PS,https://github.com/mattifestation/PowerSploit,BSD,git,https://github.com/mattifestation,5/26/2012,2/3/2014,,,Kali repos,,,,,,,,,,,
protos-sip,gk,,Reverse Engineering,java,https://www.ee.oulu.fi/research/ouspg/PROTOS_Test-Suite_c07-sip,,,,,,,NAME AND SHAME,Kali repos,,,,,,,,,,,
proxychains,gk,,Maintaining Access,C,http://proxychains.sourceforge.net/,GPLv2,,,,4/15/2006,,,Kali repos,,,,,,,,,,,
proxystrike,gk,,Web Applications,Python,http://www.edge-security.com/proxystrike.php,GPLv2,svn,deepbit,2009,6/16/2009,,https://code.google.com/p/proxystrike/,Kali repos,,,,,,,,,,,
proxytunnel,gk,,Maintaining Access,C,http://proxytunnel.sourceforge.net/,GPLv2,,"Jos Visser, Mark Janssen",,3/3/2008,,,Kali repos,,,,,,,,,,,
ptunnel,gk,,Maintaining Access,C,http://www.cs.uit.no/~daniels/PingTunnel/,BSD,,daniels@cs.uit.no,2004,9/5/2011,,,Kali repos,,,,,,,,,,,
pwnat,gk,,Maintaining Access,C,http://samy.pl/pwnat/,GPL,git,"samy kamkar, https://github.com/samyk/pwnat",,10/1/2013,,,Kali repos,,,,,,,,,,,
pyrit,gk,,Wireless Attacks,Python,http://code.google.com/p/pyrit/ http://pyrit.wordpress.com/,GPLv3,svn,,,4/23/2011,,,Kali repos,,,,,,,,,,,
radare2,gk,gk,Reverse Engineering,C,http://www.radare.org,GPLv3,git,https://github.com/radare,2/5/2009,2/10/2014,,https://github.com/radare/radare2,Kali repos,,,,,,,,,,,
rainbowcrack,gk,,Password Attacks,C++,http://project-rainbowcrack.com/index.htm,,,contact@project-rainbowcrack.com,2003,2/11/2014,,,Kali repos,,,,,,,,,,,
ratproxy,gk,,Web Applications,C,http://code.google.com/p/ratproxy/,Apache 2,svn,lcamtuf,2008,7/2/2008,,,Kali repos,,,,,,,,,,,
rcracki-mt,gk,,Password Attacks,C,http://freerainbowtables.com/,OpenSSL/Apache/Self,git,,,9/29/2013,,https://gitorious.org/freerainbowtables-applications/,Kali repos,,,,,,,,,,,
rdd,gk,,Forensics,C,,,,,,,,,Kali repos,,,,,,,,,,,
readpst,gk,,,C,http://www.five-ten-sg.com/libpst/,,hg,,,12/27/2013,,,Kali repos,,,,,,,,,,,
reaver,gk,,Wireless Attacks,C,http://code.google.com/p/reaver-wps/,GPLv2,svn,http://www.tacnetsol.com/,,10/20/2013,,,Kali repos,,,,,,,,,,,
rebind,gk,,Exploitation Tools,C,https://code.google.com/p/rebind/,MIT,svn,,,http://www.tacnetsol.com/,,,Kali repos,,,,,,,,,,,
recon-ng,gk,,Web Applications,,https://bitbucket.org/LaNMaSteR53/recon-ng,GPLv3,git,Tim Tomes,10/24/2012,2/10/2014,,,Kali repos,,,,,,,,,,,
recoverjpeg,gk,,Forensics,C,http://www.rfc1149.net/devel/recoverjpeg,GPLv2,git,"Jan Funke
Samuel Tardieu",,4/30/2013,,https://github.com/samueltardieu/recoverjpeg,Kali repos,,,,,,,,,,,
redfang,gk,,Wireless Attacks,C,,,,Ollie Whitehouse/@stake,,,,,Kali repos,,,,,,,,,,,
redsocks,gk,,Maintaining Access,C,http://darkk.net.ru/redsocks/,,git,https://github.com/darkk,,2/13/2013,,https://github.com/darkk/redsocks/tree/master,Kali repos,,,,,,,,,,,
reglookup,gk,,Forensics,C,http://projects.sentinelchicken.org/reglookup/,,,,,,,,Kali repos,,,,,,,,,,,
regripper,gk,,Forensics,Perl,https://code.google.com/p/regripper/,GPLv3,git,,,,,Deps wine,Kali repos,,,,,,,,,,,
rifiuti,gk,,Forensics,C,http://sourceforge.net/project/showfiles.php?group_id=78332,,,,,5/12/2004,,,Kali repos,,,,,,,,,,,
rifiuti2,gk,,Forensics,C,http://code.google.com/p/rifiuti2/,self,svn,,,2/10/2010,,,Kali repos,,,,,,,,,,,
rsmangler,gk,,Password Attacks,ruby,http://www.digininja.org/projects/rsmangler.php, Creative Commons Attribution-Share Alike 2.0 UK: England & Wales,,www.randomstorm.com,7/13/2010,10/23/2012,,,Kali repos,,,,,,,,,,,
rtpbreak,gk,,Sniffing/Spoofing,C,http://dallachiesa.com/code/rtpbreak/,,GPLv2,"- Prudhvi Krishna Surapaneni, mantainer of the FreeBSD Port
- Timothy Redaelli, mantainer of the Gentoo package
- Esa Hyytia, suggesting new features and reporting bugs
- Miguel Olivares, reporting bugs

",5/25/2007,12/28/2012,,,Kali repos,,,,,,,,,,,
rtpflood,,,,C,http://www.hackingvoip.com/sec_tools.html,,,,,,"rtpinsertsound, rtpmixsound",,Kali repos,,,,,,,,,,,
safecopy,gk,,Forensics,C,http://safecopy.sourceforge.net,GPLv2,CVS,Eric Price (http://sourceforge.net/users/corvuscorax),2005,3/10/2012,,,Kali repos,,,,,,,,,,,
sakis3g,,,,,http://www.sakis3g.org,,,,,,,Project page is dead,Kali repos,,,,,,,,,,,
sbd,gk,,Maintaining Access,C,http://mirrors.kernel.org/gentoo/distfiles/sbd-1.37.tar.gz,GPLv2,,,2004,8/21/2005,,nc clone w/ encryption like cryptcat,Kali repos,,,,,,,,,,,
scalpel,gk,,Forensics,C,,,,http://www.digitalforensicssolutions.com/,,,,,Kali repos,,,,,,,,,,,
scrounge-ntfs,,,Forensics,,http://memberwebs.com/stef/software/scrounge/,,,,,,,Project page is dead,Kali repos,,,,,,,,,,,
sctpscan,gk,,,C,https://github.com/philpraxis/sctpscan,GPLv3,git,https://github.com/philpraxis http://www.p1sec.com/corp/,,2/5/2014,,https://github.com/philpraxis/sctpscan,Kali repos,,,,,,,,,,,
set,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
sfuzz,gk,,Web Applications,C,http://aconole.brad-x.com/programs/sfuzz.html,,,,,,,,Kali repos,,,,,,,,,,,
sidguesser,gk,,Web Applications,C,http://www.cqure.net/wp/tools/database/sidguesser/,,,Patrik Karlsson,,,,,Kali repos,,,,,,,,,,,
siege,gk,,Stress Testing,C,http://www.joedog.org/JoeDog/Siege,GPL,,Jeff Fulmer,3/17/2013,10/17/2013,,,Kali repos,,,,,,,,,,,
siparmyknife,gk,,Web Applications,Perl,http://packetstormsecurity.com/files/107301/SIP-Army-Knife-Fuzzer-1123,,,Blake Cornell,,11/23/2011,,,Kali repos,,,,,,,,,,,
sipcrack,gk,,Exploitation Tools,C,http://www.remote-exploit.org/codes_sipcrack.html,,,,,,,Project page is dead,Kali repos,,,,,,,,,,,
sipp,gk,,Stress Testing,C,http://sipp.sourceforge.net/,GPLv2,git,https://github.com/SIPp,,2/3/2014,,https://github.com/SIPp/sipp/releases,Kali repos,,,,,,,,,,,
sipsak,gk,,Stress Testing,C,sipsak.org,,,,,,,"Project page is dead, http://www.voip-info.org/wiki/view/Sipsak",Kali repos,,,,,,,,,,,
sipvicious,gk,,Stress Testing,Python,http://code.google.com/p/sipvicious/,GPLv2,svn,Sandro Gauci,,4/26/2013,,,Kali repos,,,,,,,,,,,
skipfish,gk,,Web Applications,C,http://code.google.com/p/skipfish/,Apache 2,svn," Michal Zalewski <lcamtuf@google.com>
      Niels Heinen <heinenn@google.com>
      Sebastian Roschke <s.roschke@googlemail.com>",2009,12/7/2012,,,Kali repos,,,,,,,,,,,
smali,gk,,Reverse Engineering,Java,http://code.google.com/p/smali/,bsd,git, Ben Gruver (JesusFreke),,2/2/2014,,,Kali repos,,,,,,,,,,,
smtp-user-enum,gk,,Information Gathering,Perl,http://pentestmonkey.net/tools/user-enumeration/smtp-user-enum,GPLv2,,,1/21/2007,4/20/2008,,,Kali repos,,,,,,,,,,,
sniffjoke,gk,,Sniffing/Spoofing,C,https://github.com/vecna/sniffjoke,GPLv3,git,https://github.com/vecna,5/29/2009,8/28/2011,,,Kali repos,,,,,,,,,,,
snmpcheck,gk,,Information Gathering,Perl,http://www.nothink.org/codes/snmpcheck/index.php,,, Matteo Cantoni (www.nothink.org),2005,1/23/2011,,,Kali repos,,,,,,,,,,,
socat,gk,gk,Maintaining Access,C,http://www.dest-unreach.org/socat/,OpenSSL,git,socat@dest-unreach.org,11/7/2001,1/28/2014,,git://repo.or.cz/socat.git,Kali repos,,,,,,,,,,,
spike,gk,,Stress Testing,Bash/C,http://www.immunitysec.com/resources-freesoftware.shtml,GPLv2,,"Dave Aitel
Currently at
dave@immunitysec.com
daveaitel@hotmail.com",,4/13/2004,,,Kali repos,,,,,,,,,,,
spooftooph,gk,,Wireless Attacks,C,http://www.hackfromacave.com/projects/spooftooph,GPLv2,,JP Dunning (Ronin),3/3/2010,3/13/2012,,,Kali repos,,,,,,,,,,,
sqldict,gk,,,,http://ntsecurity.nu/toolbox/sqldict/,,,,,,,.exe file which chrome ids as malicious,Kali repos,,,,,,,,,,,
sqlmap,gk,,,Python,http://sqlmap.sourceforge.net/,,git,,,,,major product https://github.com/sqlmapproject/sqlmap,Kali repos,,,,,,,,,,,
sqlninja,gk,,Exploitation Tools,Perl,http://sqlninja.sourceforge.net/,GPLv3,,"icesurfer 
bio: I break things for a living 
email: r00t .at. northernfortress .dot. net 
PGP: 0x8388C385 
Twitter: http://twitter.com/icesurfer
nico 
bio: just a German and world citizen 
email: nico .at. leidecker .dot. info",,4/29/2012,,,Kali repos,,,,,,,,,,,
sqlsus,gk,,Exploitation Tools,Perl,http://sqlsus.sourceforge.net/,GPLv3,,Jérémy Ruffet (sativouf),2008,7/29/2011,,,Kali repos,,,,,,,,,,,
sslcaudit,SS,,Information Gathering,Python,http://www.gremwell.com/sslcaudit_v1_0,GPLv3,Git,Alexandre Bezroutchko,4/22/2012,10/24/2012,,,Kali repos,,,,,,,,,,,
ssldump,SS,,Information Gathering,C,http://www.rtfm.com/ssldump/,None,CVS,Eric Rescorla,11/2/2000,8/21/2002,,,Kali repos,,,,,,,,,,,
sslscan,SS,,Information Gathering,C,http://sourceforge.net/projects/sslscan/,GPLv2,SVN,"mboman, ivwhiting",8/29/2007,8/13/2010,,,Kali repos,,,,,,,,,,,
sslsniff,SS,,Information Gathering,C++,http://www.thoughtcrime.org/software/sslsniff/,GPLv3,Git,Moxie Marlinspike,4/23/2011,8/17/2011,,,Kali repos,,,,,,,,,,,
sslsplit,SS,,Information Gathering,C,https://www.roe.ch/SSLsplit,BSD / MIT / APSL,Git,Daniel Roethlisberger,4/13/2012,1/30/2014,,,Kali repos,,,,,,,,,,,
sslstrip,SS,,Sniffing/Spoofing,Python,http://www.thoughtcrime.org/software/sslstrip/,GPLv3,Git,Moxie Marlinspike,4/24/2011,4/24/2011,,,Kali repos,,,,,,,,,,,
sslyze,SS,,Information Gathering,Python,https://github.com/iSECPartners/sslyze,GPLv2,Git,Alban Diquet,10/8/2011,12/30/2013,,,Kali repos,,,,,,,,,,,
statsprocessor,SS,,Password Attacks,None,https://hashcat.net/wiki/doku.php?id=statsprocessor,None,None,Unknown,Unknown,Unknown,,"The hashcat project found a copy of these windows binaries, but there is no source, no original authorship information available. WWOOoooooOOoooOOo",Kali repos,,,,,,,,,,,
stunnel4,bc,,Maintaining Access,C,https://www.stunnel.org/index.html,GPLv3,rsync,,,3/22/2013,,an SSL encryption wrapper between remote client and local (inetd-startable) or remote server,Kali repos,,,,,,,,,,,
sucrack,SS,,Password Attacks,C,http://www.leidecker.info/projects/sucrack.shtml,None,None,Nico Leidecker,1/3/2006,9/21/2007,,,Kali repos,,,,,,,,,,,
swaks,bc,,Stress Testing,Perl,http://www.jetmore.org/john/code/swaks/,GPLv2,,John Jetmore <jj33@pobox.com>,2003,2/9/2013,,,Kali repos,! So nice: http://www.jetmore.org/john/code/swaks/versions.html,,,,,,,,,,
t50,bc,,System Services,C,http://sourceforge.net/projects/t50/,GPLv2,git,fernando@mentebinaria.com.br,2013,2/7/2014,,the fatest network packet injector,Kali repos,,,,,,,,,,,
tcpdump,,,,,,,,,,,,major product,Kali repos,,,,,,,,,,,
tcpflow,,,,,,,,,,,,major product,Kali repos,,,,,,,,,,,
tcpick,bc,,Sniffing/Spoofing,C,http://tcpick.sourceforge.net/,GPLv2,cvs,Francesco Stablum duskdruid:despammed.com,,1/18/2005,,"a textmode sniffer libpcap-based that can track, reassemble and reorder tcp streams. Tcpick is able to save the captured flows in different files or displays them in the terminal, and so it is ",Kali repos,,,,,,,,,,,
tcpreplay,bc,,Sniffing/Spoofing,C,http://tcpreplay.synfin.net/,GPLv3,git,http://appneta.com/,,2/11/2014,,"allows you to classify traffic as client or server, rewrite Layer 2, 3 and 4 packets and finally replay the traffic back onto the network and through other devices",Kali repos,IMPORTANT: Tcpreplay development is now being done by AppNeta ----Very well maintained,,,,,,,,,,
tcptraceroute,bc,,Information Gathering,,http://traceroute.sourceforge.net/,GPLv2,,Dmitry at Butskoy dot name,,12/6/2012,,,Kali repos,"Many implementations: This code was written from the scratch, using some ideas of Olaf Kirch's traceroute, the original implementation of Van Jacobson and some current BSD's ones. It is fully compatible with the original traceroute from Van Jacobson, wide used before for years.

",,,,,,,,,,
tcpwatch-httpproxy,bc,,Web Applications,Python,,GPL-compatible,,,,6/16/2004,,"This program allows recording of HTTP sessions by being used as a proxy server. It writes out the requests you send to a file. Its recommended usage is as a plugin to funkload. .

",Kali repos,! no website!!,,,,,,,,,,
termineter,bc,,Hardware Hacking,Python,https://code.google.com/p/termineter/,GPLv3,svn,Spencer McIntyre,2012,3/29/2013,,smart meter testing framework,Kali repos,,,,,,,,,,,
testdisk,bc,,Forensics,C,http://www.cgsecurity.org/wiki/TestDisk,GPLv3,,,,7/30/2013,," primarily designed to help recover lost partitions and/or make non-booting disks bootable again when these symptoms are caused by faulty software, certain types of viruses or human error (such as accidentally deleting a Partition Table).",Kali repos,,,,,,,,,,,
thc-ipv6,,,,,,,,,,,thc,major project,Kali repos,,,,,,,,,,,
thc-pptp-bruter,,,,,,,,,,,thc,major project,Kali repos,,,,,,,,,,,
thc-ssl-dos,,,,,,,,,,,thc,major project,Kali repos,,,,,,,,,,,
theharvester,bc,,Information Gathering,Python,https://code.google.com/p/theharvester/,GPLv2,svn,cmartorella@edge-security.com,2011,2/7/2013,," a tool for gathering e-mail accounts, subdomain names, virtual hosts, open ports/ banners, and employee names from different public sources (search engines, pgp key servers). ",Kali repos,,,,,,,,,,,
tlssled,bc,,Vulnerability Analysis,Shell,http://blog.taddong.com/2013/02/tlssled-v13.html,GPLv3,none,Taddong SL (Raul Siles),,2/1/2013,,a Linux shell script whose purpose is to evaluate the security of a target SSL/TLS (HTTPS) web server implementation,Kali repos,,,,,,,,,,,
tnscmd10g,SS,,Information Gathering,Perl,http://www.jammed.com/~jwa/hacks/security/tnscmd/tnscmd-doc.html,None,None,Saez Scheihing,4/26/2001,11/3/2005,,,Kali repos,,,,,,,,,,,
truecrack,SS,,Information Gathering,C,https://code.google.com/p/truecrack/,GPLv3,SVN,luck87,1/13/2013,11/27/2013,,,Kali repos,,,,,,,,,,,
tshark,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
twofi,SS,,Information Gathering,Ruby,http://www.digininja.org/projects/twofi.php,Creative Commons Attribution-Share Alike 2.0,None,Robin Wood,6/27/2012,6/27/2012,,,Kali repos,,,,,,,,,,,
u3-pwn,SS,,System Services,Python,http://www.nullsecurity.net/tools/backdoor.html,None,None,Zy0d0x,7/4/2012,7/4/2012,,,Kali repos,,,,,,,,,,,
u3-tool,SS,,System Services,C,http://u3-tool.sourceforge.net/,GPLv2,SVN,Daniel Blueman,10/29/2007,5/29/2012,,,Kali repos,,,,,,,,,,,
